#synthetic magnetometer, 45,0000 rpm, hard iron (28,0, -15,0, 9,0) uT
t,x,y,z
0,43.62858757643801,-17.297028943558427,54.14626395678584
0.02,42.48184778665784,-15.386320307986157,54.1363760799312
0.04,42.31437444878848,-13.246315532450357,54.167290724998324
0.06,41.81982550920587,-11.470220815092606,54.20241942621975
0.08,41.457576666355735,-10.230407559428423,53.82939909309108
0.1,40.4273463438655,-7.9254246909916,54.16660239914782
0.12,39.71191127782975,-6.611205067880562,53.88455683506621
0.14,39.5028167901214,-5.0277525944084775,53.892324017096115
0.16,37.59398013455367,-3.233747201607608,53.56253173646155
0.18,36.884562718546654,-2.342369129601831,54.03106816371624
0.2,35.25059317714416,-0.8274524512058381,54.35643787260823
0.22,33.86248084000278,0.6406223851868589,54.388096374881215
0.24,32.53170828835444,2.048627031658933,54.131407331184775
0.26,31.210019241585385,3.020365394312236,53.97790061829827
0.28,29.7428360842664,3.2264900868388118,53.911627415892596
0.3,28.72356079543195,3.380959640832222,54.22791903235241
0.32,26.90358732143102,4.44259747501172,53.875943639642955
0.34,25.89901182940888,4.3050602863006,54.043826871723965
0.36,24.009257863761057,4.69800115893973,53.85764707394016
0.38,21.70076406838721,3.9730653681982293,54.161540682433355
0.4,21.519957283147214,4.057269167002172,53.99492770261407
0.42,20.03970172974094,3.8390564213347584,53.65214089550424
0.44,18.968190655128446,2.911233962273924,54.40654902902098
0.46,17.709069509768817,2.0241966573161303,53.628029120031314
0.48,15.95966651285926,1.340895485887394,53.94861837811991
0.5,15.962140234863382,0.5808784590782174,54.387860510519985
0.52,14.99595503767943,-0.6319937308499615,53.52761992596621
0.54,14.732038035467713,-2.851791820410755,54.246980360344665
0.56,13.409213236952777,-4.000649092746697,54.62877621121308
0.58,12.70130962903847,-5.421176416383373,53.73479334836031
0.6,12.686057170920929,-7.1900387710984175,54.567940347979345
0.62,12.632407061746434,-8.43444508652096,53.800431168617635
0.64,12.931199638950739,-10.571320648635743,54.19598674439388
0.66,12.644422796495055,-12.616670601008881,53.38390034408082
